Agency,Date Migrated,System,Category,Document,Total,New,Updated,Migrated,Skipped,Time in minutes,Items/minute
Elks Aidmore (Inactive),2/8/2023,FC,Clients,F_CLIENT,14,0,14,14,0,1,14
Elks Aidmore (Inactive),2/8/2023,FC,Medications,F_MEDICATION,"1,768",0,8,8,"1,760",0.5,16
Elks Aidmore (Inactive),2/8/2023,FC,ICD,F_CLIENT,311,0,2,2,309,0.5,4
Elks Aidmore (Inactive),2/8/2023,FC,Case People,F_RELATIONSHIP,567,0,1,1,566,0.5,2
Elks Aidmore (Inactive),2/8/2023,FC,Professionals to Add…,F_CONTACT,59,0,59,59,0,0.5,118
CeCe's Hope Center,5/9/2022,GCM,Clients,F_CLIENT,104,0,104,104,0,1,104
Agape (In Home),12/15/2021,GCM,Clients,F_CLIENT,"1,630",0,"1,630","1,630",0,5,326
Agape (In Home),12/15/2021,GCM,Medications,F_MEDICATION,"7,440",0,"6,493","6,493",947,2,"3,246.50"
Agape (In Home),12/15/2021,GCM,ICD,F_CLIENT,"4,516",0,"3,404","3,404","1,112",11,309.5
Agape (In Home),12/15/2021,GCM,Case People,F_RELATIONSHIP,"4,164",0,"3,019","3,019","1,145",14,215.6
Agape (Mental Health Support),12/15/2021,GCM,Clients,F_CLIENT,933,2,931,933,0,3,312.3
Agape (Mental Health Support),12/15/2021,GCM,Medications,F_MEDICATION,"7,440",6513,0,"6,513",927,9,"6,513.00"
Agape (Mental Health Support),12/15/2021,GCM,ICD,F_CLIENT,"4,516",0,"3,404","3,404","1,112",18,189.1
Agape (Mental Health Support),12/15/2021,GCM,Case People,F_RELATIONSHIP,"4,164",0,"3,019","3,019","1,145",22,137.2
Agape (Day Treatment),12/15/2021,GCM,Clients,F_CLIENT,"1,665",0,"1,665","1,665",0,4,416.3
Agape (Day Treatment),12/15/2021,GCM,Medications,F_MEDICATION,"7,440",1829,0,"1,829","5,611",2,"1,829.00"
Agape (Day Treatment),12/15/2021,GCM,ICD,F_CLIENT,"4,516",0,"2,216","2,216","2,300",8,277
Agape (Day Treatment),12/15/2021,GCM,Case People,F_RELATIONSHIP,"4,164",0,"1,969","1,969","2,195",11,179
Casa de Esperanza (Clients),10/5/2021,FC,Clients,F_CLIENT,469,0,469,469,0,12,39.1
Casa de Esperanza (Clients),10/5/2021,FC,Assign Staff > Clients,F_CLIENT,502,0,254,254,248,14,18.1
Casa de Esperanza (Clients),10/5/2021,FC,Homes,F_PROVIDER,117,0,117,117,0,1,117
Casa de Esperanza (Clients),10/5/2021,FC,Placements,F_PLACEMENT,821,0,542,542,279,8,67.8
Casa de Esperanza (Clients),10/5/2021,FC,Medications,F_MEDICATION,275,0,273,273,2,1,273
Casa de Esperanza (Clients),10/5/2021,FC,Case People,F_RELATIONSHIP,21,0,13,13,8,0.5,26
Casa de Esperanza (Clients),10/5/2021,FC,Home People,F_HOUSEMEMBER,167,0,81,81,86,0.5,162
Casa de Esperanza (Clients),10/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,568",0,375,375,"2,193",1,375
Casa de Esperanza (Clients),10/5/2021,FC,Professionals to Add…,F_CONTACT,1,0,1,1,0,0.5,2
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Clients,F_CLIENT,89,0,89,89,0,1,89
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Assign Staff > Clients,F_CLIENT,502,0,254,254,248,9,28.2
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Placements,F_PLACEMENT,821,0,542,542,279,1,542
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Medications,F_MEDICATION,275,0,273,273,2,1,273
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Case People,F_RELATIONSHIP,21,0,13,13,8,0.5,26
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Home People,F_HOUSEMEMBER,167,0,81,81,86,0.5,162
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,568",0,375,375,"2,193",2,187.5
Casa de Esperanza (Families),10/5/2021,FC,Families,F_CLIENT,170,0,170,170,0,4,42.5
Casa de Esperanza (Families),10/5/2021,FC,Assign Staff > Families,F_CLIENT,502,0,254,254,248,9,28.2
Casa de Esperanza (Families),10/5/2021,FC,Placements,F_PLACEMENT,821,0,542,542,279,9,60.2
Casa de Esperanza (Families),10/5/2021,FC,Medications,F_MEDICATION,275,0,273,273,2,1,273
Casa de Esperanza (Families),10/5/2021,FC,Case People,F_RELATIONSHIP,892,0,466,466,426,1,466
Casa de Esperanza (Families),10/5/2021,FC,Home People,F_HOUSEMEMBER,167,0,81,81,86,0.5,162
Casa de Esperanza (Families),10/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,568",0,375,375,"2,193",1,375
Casa de Esperanza (Families),10/5/2021,FC,Professionals to Add…,F_CONTACT,1,0,1,1,0,0.5,2
Casa de Esperanza (Families),10/5/2021,GCM,Clients,F_CLIENT,180,1,179,180,0,2,90.5
Casa de Esperanza (Families),10/5/2021,GCM,Case People,F_RELATIONSHIP,892,0,506,506,386,1,506
Childplace (Residential),11/15/2021,FC,Clients,F_CLIENT,344,0,344,344,0,9,38.2
Childplace (Residential),11/15/2021,FC,Homes,F_PROVIDER,8,0,8,8,0,0.5,16
Childplace (Residential),11/15/2021,FC,Placements,F_PLACEMENT,480,0,301,301,179,5,60.2
Childplace (Residential),11/15/2021,FC,Medications,F_MEDICATION,"1,602",0,"1,600","1,600",2,3,533.3
Childplace (Residential),11/15/2021,FC,Goals,F_GOAL,"3,208",0,"2,749","2,749",459,4,687.3
Childplace (Residential),11/15/2021,FC,ICD,F_CLIENT,281,0,280,280,1,7,40
Childplace (Residential),11/15/2021,FC,Case People,F_RELATIONSHIP,647,0,490,490,157,1,490
Childplace (Residential),11/15/2021,FC,Home People,F_HOUSEMEMBER,34,0,0,0,34,0.5,0
Childplace (Residential),11/15/2021,FC,Staff Training,F_THERAPIST_TRAINING,"16,013",0,"15,354","15,354",659,28,548.4
Childplace (Foster Care),11/15/2021,FC,Clients,F_CLIENT,151,0,151,151,0,4,37.8
Childplace (Foster Care),11/15/2021,FC,Homes,F_PROVIDER,54,1,53,54,0,1,54
Childplace (Foster Care),11/15/2021,FC,Placements,F_PLACEMENT,480,0,151,151,329,2,75.5
Childplace (Foster Care),11/15/2021,FC,Medications,F_MEDICATION,"1,602",0,66,66,"1,536",1,66
Childplace (Foster Care),11/15/2021,FC,Goals,F_GOAL,"3,208",0,567,567,"2,641",1,567
Childplace (Foster Care),11/15/2021,FC,ICD,F_CLIENT,281,0,9,9,272,1,9
Childplace (Foster Care),11/15/2021,FC,Case People,F_RELATIONSHIP,647,0,182,182,465,1,182
Childplace (Foster Care),11/15/2021,FC,Home People,F_HOUSEMEMBER,34,0,19,19,15,1,19
Childplace (Foster Care),11/15/2021,FC,Staff Training,F_THERAPIST_TRAINING,"16,013",0,527,527,"15,486",3,175.7
Childrens Guild (TFC),10/5/2021,FC,Clients,F_CLIENT,"2,628",0,"2,628","2,628",0,19,138.3
Childrens Guild (TFC),10/5/2021,FC,Homes,F_PROVIDER,373,0,373,373,0,2,186.5
Childrens Guild (TFC),10/5/2021,FC,Placements,F_PLACEMENT,"1,032",0,780,780,252,14,55.7
Childrens Guild (TFC),10/5/2021,FC,Medications,F_MEDICATION,909,0,898,898,11,4,224.5
Childrens Guild (TFC),10/5/2021,FC,Goals,F_GOAL,28,0,22,22,6,0.5,44
Childrens Guild (TFC),10/5/2021,FC,ICD,F_CLIENT,440,0,433,433,7,14,30.9
Childrens Guild (TFC),10/5/2021,FC,Case People,F_RELATIONSHIP,468,0,462,462,6,3,154
Childrens Guild (TFC),10/5/2021,FC,Home People,F_HOUSEMEMBER,407,0,251,251,156,1,251
Childrens Guild (TFC),10/5/2021,FC,Professionals to Add…,F_CONTACT,94,0,94,94,0,1,94
Childrens Guild (TGH),10/5/2021,FC,Clients,F_CLIENT,665,0,665,665,0,7,95
Childrens Guild (TGH),10/5/2021,FC,Homes,F_PROVIDER,3,0,3,3,0,0.5,6
Childrens Guild (TGH),10/5/2021,FC,Placements,F_PLACEMENT,"1,032",0,780,780,252,20,39
Childrens Guild (TGH),10/5/2021,FC,Medications,F_MEDICATION,909,0,898,898,11,5,179.6
Childrens Guild (TGH),10/5/2021,FC,Goals,F_GOAL,28,0,22,22,6,0.5,44
Childrens Guild (TGH),10/5/2021,FC,ICD,F_CLIENT,440,0,433,433,7,20,21.7
Childrens Guild (TGH),10/5/2021,FC,Case People,F_RELATIONSHIP,468,0,462,462,6,2,231
Childrens Guild (TGH),10/5/2021,FC,Home People,F_HOUSEMEMBER,407,0,251,251,156,0.5,502
Childrens Guild (TGH),10/5/2021,FC,Professionals to Add…,F_CONTACT,94,0,94,94,0,0.5,188
Childrens Homes of Cleveland City,11/10/2021,FC,Clients,F_CLIENT,197,0,197,197,0,14,14.1
Childrens Homes of Cleveland City,11/10/2021,FC,Homes,F_PROVIDER,3,0,3,3,0,0.5,6
Childrens Homes of Cleveland City,11/10/2021,FC,Medications,F_MEDICATION,350,0,344,344,6,3,114.7
Childrens Homes of Cleveland City,11/10/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,432",0,"2,381","2,381",51,7,340.1
Childrens Homes of Cleveland City,11/10/2021,FC,Professionals to Add…,F_CONTACT,40,0,40,40,0,0.5,80
Childrens Homes of Cleveland City,11/10/2021,GCM,Clients,F_CLIENT,805,4,801,805,0,4,204.3
Childrens Homes of Cleveland City,11/10/2021,GCM,Medications,F_MEDICATION,350,0,201,201,149,0.5,402
Connections IFS,9/30/2021,FC,Clients,F_CLIENT,"2,052",1,"2,051","2,052",0,90,23.8
Connections IFS,9/30/2021,FC,Homes,F_PROVIDER,3,0,3,3,0,0.5,6
Connections IFS,9/30/2021,FC,Placements,F_PLACEMENT,"1,974",0,"1,961","1,961",13,65,30.2
Connections IFS,9/30/2021,FC,Medications,F_MEDICATION,"2,508",0,"2,498","2,498",10,10,249.8
Connections IFS,9/30/2021,FC,Goals,F_GOAL,47,0,46,46,1,1,46
Connections IFS,9/30/2021,FC,ICD,F_CLIENT,324,0,320,320,4,19,16.8
Connections IFS,9/30/2021,FC,Case People,F_RELATIONSHIP,756,0,744,744,12,2,372
Connections IFS,9/30/2021,FC,Staff Training,F_THERAPIST_TRAINING,"9,170",0,"8,836","8,836",334,15,589.1
Eckerd Connects,2/7/2022,FC,Clients,F_CLIENT,"1,238",7,"1,231","1,238",0,28,51
Eckerd Connects,2/7/2022,FC,Assign Staff > Clients,F_CLIENT,415,0,2,2,413,1,2
Eckerd Connects,2/7/2022,FC,Homes,F_PROVIDER,222,0,222,222,0,1,222
Eckerd Connects,2/7/2022,FC,Assign Staff > Homes,F_PROVIDER,415,0,267,267,148,3,89
Eckerd Connects,2/7/2022,FC,Placements,F_PLACEMENT,"2,122",0,"1,553","1,553",569,20,77.7
Eckerd Connects,2/7/2022,FC,Medications,F_MEDICATION,794,0,729,729,65,3,243
Eckerd Connects,2/7/2022,FC,Case People,F_RELATIONSHIP,228,0,20,20,208,0.5,40
Eckerd Connects,2/7/2022,FC,Home People,F_HOUSEMEMBER,337,0,62,62,275,0.5,124
Florence Crittenton,11/1/2021,FC,Clients,F_CLIENT,263,0,263,263,0,48,5.5
Florence Crittenton,11/1/2021,FC,Assign Staff > Clients,F_CLIENT,39,0,35,35,4,11,3.2
Florence Crittenton,11/1/2021,FC,Placements,F_PLACEMENT,268,0,261,261,7,13,20.1
Florence Crittenton,11/1/2021,FC,Case People,F_RELATIONSHIP,138,0,132,132,6,1,132
Free Will BCH (Household),1/4/2022,FC,Clients,F_CLIENT,334,3,331,334,0,21,18.8
Free Will BCH (Household),1/4/2022,FC,Homes,F_PROVIDER,84,0,84,84,0,9,9.3
Free Will BCH (Household),1/4/2022,FC,Placements,F_PLACEMENT,"1,761",0,"1,015","1,015",746,53,19.2
Free Will BCH (Household),1/4/2022,FC,Medications,F_MEDICATION,"2,879",0,172,172,"2,707",1,172
Free Will BCH (Household),1/4/2022,FC,Goals,F_GOAL,639,0,43,43,596,3,14.3
Free Will BCH (Household),1/4/2022,FC,ICD,F_CLIENT,11,0,1,1,10,3,0.3
Free Will BCH (Household),1/4/2022,FC,Case People,F_RELATIONSHIP,"2,217",0,543,543,"1,674",3,181
Free Will BCH (Household),1/4/2022,FC,Home People,F_HOUSEMEMBER,100,0,79,79,21,6,13.2
Free Will BCH (Household),1/4/2022,FC,Staff Training,F_THERAPIST_TRAINING,"2,177",0,"1,039","1,039","1,138",8,129.9
Free Will BCH (Household),1/4/2022,FC,Professionals to Add…,F_CONTACT,638,0,638,638,0,5,127.6
Free Will BCH (Other Residence),1/4/2022,FC,Clients,F_CLIENT,481,4,477,481,0,36,17.3
Free Will BCH (Other Residence),1/4/2022,FC,Homes,F_PROVIDER,6,0,6,6,0,1,6
Free Will BCH (Other Residence),1/4/2022,FC,Placements,F_PLACEMENT,"1,761",0,700,700,"1,061",28,25
Free Will BCH (Other Residence),1/4/2022,FC,Medications,F_MEDICATION,"2,879",0,"2,838","2,838",41,16,177.4
Free Will BCH (Other Residence),1/4/2022,FC,Goals,F_GOAL,639,0,636,636,3,17,37.4
Free Will BCH (Other Residence),1/4/2022,FC,ICD,F_CLIENT,11,0,8,8,3,18,0.4
Free Will BCH (Other Residence),1/4/2022,FC,Case People,F_RELATIONSHIP,"2,217",0,"1,749","1,749",468,24,72.9
Free Will BCH (Other Residence),1/4/2022,FC,Professionals to Add…,F_CONTACT,638,0,638,638,0,25,25.5
Generations,10/4/2021,FC,Clients,F_CLIENT,754,0,754,754,0,20,37.7
Generations,10/4/2021,FC,Homes,F_PROVIDER,17,0,17,17,0,0.5,34
Generations,10/4/2021,FC,Staff Training,F_THERAPIST_TRAINING,"12,224",0,"12,069","12,069",155,32,377.2
High Sky Foster Care,10/9/2021,FC,Clients,F_CLIENT,"1,493",0,"1,493","1,493",0,40,37.3
High Sky Foster Care,10/9/2021,FC,Placements,F_PLACEMENT,"3,712",0,"3,145","3,145",567,53,59.3
Hope Center,9/30/2021,FC,Clients,F_CLIENT,916,4,912,916,0,25,40.5
Hope Center,9/30/2021,FC,Homes,F_PROVIDER,13,0,13,13,0,0.5,26
Hope Center,9/30/2021,FC,Placements,F_PLACEMENT,892,0,655,655,237,12,54.6
Hope Center,9/30/2021,FC,Medications,F_MEDICATION,6,0,3,3,3,0.5,6
Hope Center,9/30/2021,FC,Goals,F_GOAL,162,0,132,132,30,1,132
Hope Center,9/30/2021,FC,ICD,F_CLIENT,68,0,49,49,19,3,16.3
Hope Center,9/30/2021,FC,Case People,F_RELATIONSHIP,68,0,56,56,12,1,56
Hope Center,9/30/2021,FC,Staff Training,F_THERAPIST_TRAINING,486,0,79,79,407,1,79
Hope Center,9/30/2021,FC,Professionals to Add…,F_CONTACT,16,0,16,16,0,0.5,32
Hope Center (Client),9/30/2021,GCM,Clients,F_CLIENT,268,2,266,268,0,1,268
Hope Center (Client),9/30/2021,GCM,Goals,F_GOAL,162,0,131,131,31,0.5,262
Hope Center (Client),9/30/2021,GCM,ICD,F_CLIENT,68,0,47,47,21,0.5,94
Hope Center (Client),9/30/2021,GCM,Case People,F_RELATIONSHIP,68,0,29,29,39,0.5,58
Hope Center (Family),9/30/2021,GCM,Clients,F_CLIENT,"1,570",0,"1,570","1,570",0,5,314
Hope Center (Family),9/30/2021,GCM,Goals,F_GOAL,162,0,131,131,31,0.5,262
Hope Center (Family),9/30/2021,GCM,ICD,F_CLIENT,68,0,47,47,21,0.5,94
Hope Center (Family),9/30/2021,GCM,Case People,F_RELATIONSHIP,"3,482",0,"3,422","3,422",60,2,"1,711.00"
Journey Home,11/5/2021,FC,Clients,F_CLIENT,388,8,380,388,0,9,50.2
Journey Home,11/5/2021,FC,Assign Staff > Clients,F_CLIENT,171,0,166,166,5,5,33.2
Journey Home,11/5/2021,FC,Homes,F_PROVIDER,85,1,84,85,0,1,85
Journey Home,11/5/2021,FC,Placements,F_PLACEMENT,452,0,382,382,70,7,54.6
Journey Home,11/5/2021,FC,Medications,F_MEDICATION,182,0,178,178,4,2,89
Journey Home,11/5/2021,FC,Case People,F_RELATIONSHIP,241,0,237,237,4,2,118.5
Journey Home,11/5/2021,FC,Home People,F_HOUSEMEMBER,174,0,71,71,103,1,71
Journey Home,11/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,18,0,1,1,17,0.5,2
Journey Home,11/5/2021,FC,Professionals to Add…,F_CONTACT,152,0,152,152,0,2,76
One More Child (HFY),10/6/2021,GCM,Clients,F_CLIENT,170,0,170,170,0,1,170
One More Child (ERC),10/6/2021,GCM,Clients,F_CLIENT,63,3,60,63,0,1,63
One More Child (ATMT),10/6/2021,GCM,Clients,F_CLIENT,480,2,478,480,0,1,480
One More Child (ATMT),10/6/2021,GCM,Medications,F_MEDICATION,97,0,36,36,61,0.5,72
One More Child (ATMT),10/6/2021,GCM,Case People,F_RELATIONSHIP,394,0,266,266,128,1,266
One More Child (FS),10/6/2021,GCM,Families,F_CLIENT,678,9,669,678,0,3,232
One More Child (FS),10/6/2021,GCM,Case People,F_RELATIONSHIP,"4,757",0,"1,038","1,038","3,719",1,"1,038.00"
PDA,1/3/2022,FC,Clients,F_CLIENT,475,29,426,455,20,15,57.4
PDA,1/3/2022,FC,Medications,F_MEDICATION,29,0,24,24,5,1,24
PDA,1/3/2022,FC,Goals,F_GOAL,707,0,697,697,10,1,697
PDA,1/3/2022,FC,Case People,F_RELATIONSHIP,144,0,135,135,9,1,135
Pendleton Place (SC),2/10/2022,FC,Clients,F_CLIENT,"1,541",3,"1,538","1,541",0,14,112.9
Pendleton Place (SC),2/10/2022,FC,Homes,F_PROVIDER,4,0,4,4,0,1,4
Pendleton Place (SC),2/10/2022,FC,Placements,F_PLACEMENT,"4,215",0,278,278,"3,937",5,55.6
